COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
seq01,2,nvarchar,YES,-1,NULL,NULL,0
seq02,3,bigint,YES,NULL,19,0,0
seq03,4,bigint,YES,NULL,19,0,0
seq04,5,bigint,YES,NULL,19,0,0
seq05,6,datetime2,YES,NULL,NULL,NULL,0
seq06,7,nvarchar,YES,-1,NULL,NULL,0
seq07,8,nvarchar,YES,-1,NULL,NULL,0
seq08,9,nvarchar,YES,-1,NULL,NULL,0
seq09,10,nvarchar,YES,-1,NULL,NULL,0
seq10,11,nvarchar,YES,-1,NULL,NULL,0
seq11,12,nvarchar,YES,-1,NULL,NULL,0
seq12,13,nvarchar,YES,-1,NULL,NULL,0
