COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
id_tarifa,2,bigint,YES,NULL,19,0,0
cd_tipo_valorizacao,3,bigint,YES,NULL,19,0,0
cd_tipo_preco,4,bigint,YES,NULL,19,0,0
dt_cadastro,5,datetime2,YES,NULL,NULL,NULL,0
cd_tipo_estoque,6,bigint,YES,NULL,19,0,0
cd_tipo_produto,7,bigint,YES,NULL,19,0,0
cd_produto,8,nvarchar,YES,-1,NULL,NULL,0
nm_dim_1,9,float,YES,NULL,53,NULL,0
nm_dim_2,10,float,YES,NULL,53,NULL,0
nm_dim_3,11,float,YES,NULL,53,NULL,0
cd_entidade,12,bigint,YES,NULL,19,0,0
cd_unidade_valor,13,bigint,YES,NULL,19,0,0
cd_fornecedor,14,bigint,YES,NULL,19,0,0
vl_produto,15,float,YES,NULL,53,NULL,0
pc_atualizacao,16,float,YES,NULL,53,NULL,0
vl_produto_liquido,17,float,YES,NULL,53,NULL,0
cd_contrato,18,nvarchar,YES,-1,NULL,NULL,0
cd_tipo_venda,19,nvarchar,YES,-1,NULL,NULL,0
cd_portao,20,nvarchar,YES,-1,NULL,NULL,0
