COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
nm_banco,2,nvarchar,YES,-1,NULL,NULL,0
nm_agencia,3,nvarchar,YES,-1,NULL,NULL,0
nm_conta,4,nvarchar,YES,-1,NULL,NULL,0
vl_saldo_inicial,5,float,YES,NULL,53,NULL,0
dt_saldo_inicial,6,datetime2,YES,NULL,NULL,NULL,0
vl_limite_conta,7,float,YES,NULL,53,NULL,0
cd_conta_contabil,8,bigint,YES,NULL,19,0,0
cd_empresa,9,bigint,YES,NULL,19,0,0
cd_febraban,10,nvarchar,YES,-1,NULL,NULL,0
nm_agencia_dv,11,nvarchar,YES,-1,NULL,NULL,0
nm_conta_dv,12,nvarchar,YES,-1,NULL,NULL,0
nm_tipo_cor_pou,13,nvarchar,YES,-1,NULL,NULL,0
nm_conta_cod_benef,14,nvarchar,YES,-1,NULL,NULL,0
nm_conta_cod_empresa,15,nvarchar,YES,-1,NULL,NULL,0
ic_validacao_ativa,16,bit,YES,NULL,NULL,NULL,0
ic_impressao_atualiz,17,bit,YES,NULL,NULL,NULL,0
id_plugboleto,18,bigint,YES,NULL,19,0,0
dt_cad_plugboleto,19,datetime2,YES,NULL,NULL,NULL,0
dt_atual_plugboleto,20,datetime2,YES,NULL,NULL,NULL,0
