COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
id_titulo,2,bigint,YES,NULL,19,0,0
id_banco,3,bigint,YES,NULL,19,0,0
id_convenio,4,bigint,YES,NULL,19,0,0
id_integracao,5,nvarchar,YES,-1,NULL,NULL,0
Situacao,6,nvarchar,YES,-1,NULL,NULL,0
dt_liquidacao,7,datetime2,YES,NULL,NULL,NULL,0
dt_cadastro,8,datetime2,YES,NULL,NULL,NULL,0
dt_atualizacao,9,datetime2,YES,NULL,NULL,NULL,0
SacadoCPFCNPJ,10,nvarchar,YES,-1,NULL,NULL,0
SacadoEmail,11,nvarchar,YES,-1,NULL,NULL,0
SacadoEndereco,12,nvarchar,YES,-1,NULL,NULL,0
SacadoNumero,13,nvarchar,YES,-1,NULL,NULL,0
SacadoBairro,14,nvarchar,YES,-1,NULL,NULL,0
SacadoCep,15,nvarchar,YES,-1,NULL,NULL,0
SacadoCidade,16,nvarchar,YES,-1,NULL,NULL,0
SacadoComplemento,17,nvarchar,YES,-1,NULL,NULL,0
SacadoPais,18,nvarchar,YES,-1,NULL,NULL,0
SacadoUf,19,nvarchar,YES,-1,NULL,NULL,0
SacadoNome,20,nvarchar,YES,-1,NULL,NULL,0
