COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
idFase,2,bigint,YES,NULL,19,0,0
requisito,3,nvarchar,YES,-1,NULL,NULL,0
modoFalha,4,nvarchar,YES,-1,NULL,NULL,0
efeito,5,nvarchar,YES,-1,NULL,NULL,0
cdSeveridade,6,bigint,YES,NULL,19,0,0
classificacao,7,bigint,YES,NULL,19,0,0
causa,8,nvarchar,YES,-1,NULL,NULL,0
controleAtual,9,nvarchar,YES,-1,NULL,NULL,0
cdOcorrencia,10,bigint,YES,NULL,19,0,0
controlePreventivo,11,nvarchar,YES,-1,NULL,NULL,0
cdDeteccao,12,bigint,YES,NULL,19,0,0
cdSeveridade2,13,bigint,YES,NULL,19,0,0
cdOcorrencia2,14,bigint,YES,NULL,19,0,0
cdDeteccao2,15,bigint,YES,NULL,19,0,0
tamanhoAmostra,16,nvarchar,YES,-1,NULL,NULL,0
frequenciaAmostra,17,nvarchar,YES,-1,NULL,NULL,0
planoReacao,18,nvarchar,YES,-1,NULL,NULL,0
isCaracteristica,19,bit,YES,NULL,NULL,NULL,0
metodoControle,20,nvarchar,YES,-1,NULL,NULL,0
