COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_empresa,2,bigint,YES,NULL,19,0,0
cd_cot_comp_fornec,3,bigint,YES,NULL,19,0,0
cd_cot_compras_item,4,bigint,YES,NULL,19,0,0
cd_fornecedor,5,bigint,YES,NULL,19,0,0
cd_tipo_elemento,6,bigint,YES,NULL,19,0,0
cd_produto,7,nvarchar,YES,-1,NULL,NULL,0
cd_tipo_produto,8,bigint,YES,NULL,19,0,0
dim01,9,float,YES,NULL,53,NULL,0
dim02,10,float,YES,NULL,53,NULL,0
dim03,11,float,YES,NULL,53,NULL,0
cd_imposto,12,bigint,YES,NULL,19,0,0
vl_unitario,13,float,YES,NULL,53,NULL,0
vl_prazo,14,bigint,YES,NULL,19,0,0
cd_status,15,bigint,YES,NULL,19,0,0
cd_pedido,16,bigint,YES,NULL,19,0,0
cd_pedido_item,17,bigint,YES,NULL,19,0,0
nm_fornecedor,18,nvarchar,YES,-1,NULL,NULL,0
nm_comentario,19,nvarchar,YES,-1,NULL,NULL,0
pc_ipi,20,float,YES,NULL,53,NULL,0
