COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_status,2,bigint,YES,NULL,19,0,0
dt_requisacao,3,datetime2,YES,NULL,NULL,NULL,0
cd_func_req,4,bigint,YES,NULL,19,0,0
cd_centro_custos,5,bigint,YES,NULL,19,0,0
dt_aprov_req,6,datetime2,YES,NULL,NULL,NULL,0
cd_func_aprv,7,bigint,YES,NULL,19,0,0
cd_envio_req,8,bigint,YES,NULL,19,0,0
cd_tipo_elem,9,bigint,YES,NULL,19,0,0
cd_tipo_prod,10,bigint,YES,NULL,19,0,0
cd_produto,11,nvarchar,YES,-1,NULL,NULL,0
vl_dim01,12,float,YES,NULL,53,NULL,0
vl_dim02,13,float,YES,NULL,53,NULL,0
vl_dim03,14,float,YES,NULL,53,NULL,0
qde_requisitada,15,float,YES,NULL,53,NULL,0
cd_unidade,16,bigint,YES,NULL,19,0,0
nm_almoxarifado,17,nvarchar,YES,-1,NULL,NULL,0
dt_cotacao,18,datetime2,YES,NULL,NULL,NULL,0
cd_cotacao,19,bigint,YES,NULL,19,0,0
ds_comentario_req,20,nvarchar,YES,-1,NULL,NULL,0
