COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
ic_encerrado,2,bit,YES,NULL,NULL,NULL,0
cd_tipo,3,bigint,YES,NULL,19,0,0
cd_tipo_entidade,4,bigint,YES,NULL,19,0,0
cd_entidade,5,bigint,YES,NULL,19,0,0
nm_entidade,6,nvarchar,YES,-1,NULL,NULL,0
cd_contrato,7,nvarchar,YES,-1,NULL,NULL,0
dt_contrato,8,datetime2,YES,NULL,NULL,NULL,0
dt_encerramento,9,datetime2,YES,NULL,NULL,NULL,0
vl_contrato,10,float,YES,NULL,53,NULL,0
cd_periodo_pagamento,11,bigint,YES,NULL,19,0,0
vl_dia_pagamento,12,bigint,YES,NULL,19,0,0
vl_mes_reajuste,13,bigint,YES,NULL,19,0,0
cd_indice_reajuste,14,bigint,YES,NULL,19,0,0
cd_moeda,15,bigint,YES,NULL,19,0,0
cd_banco,16,bigint,YES,NULL,19,0,0
cd_conta_red,17,bigint,YES,NULL,19,0,0
cd_departamento,18,bigint,YES,NULL,19,0,0
cd_centro_custos,19,bigint,YES,NULL,19,0,0
cd_modo_pagamento,20,bigint,YES,NULL,19,0,0
