COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
dt_atualizacao,2,datetime2,YES,NULL,NULL,NULL,0
ic_orcamento,3,bit,YES,NULL,NULL,NULL,0
ic_pedido,4,bit,YES,NULL,NULL,NULL,0
ic_entrega,5,bit,YES,NULL,NULL,NULL,0
ic_historico,6,bit,YES,NULL,NULL,NULL,0
cd_cliente,7,bigint,YES,NULL,19,0,0
nm_cliente,8,nvarchar,YES,-1,NULL,NULL,0
nm_especialidade,9,nvarchar,YES,-1,NULL,NULL,0
nm_pais_cliente,10,nvarchar,YES,-1,NULL,NULL,0
nm_estado_cliente,11,nvarchar,YES,-1,NULL,NULL,0
nm_cidade_cliente,12,nvarchar,YES,-1,NULL,NULL,0
nm_bairro_cliente,13,nvarchar,YES,-1,NULL,NULL,0
nm_representante,14,nvarchar,YES,-1,NULL,NULL,0
cd_grupo_estoque,15,bigint,YES,NULL,19,0,0
cd_tipo_produto,16,bigint,YES,NULL,19,0,0
cd_produto,17,nvarchar,YES,-1,NULL,NULL,0
nm_descricao_produto,18,nvarchar,YES,-1,NULL,NULL,0
cd_orcamento,19,bigint,YES,NULL,19,0,0
nm_preparador_orc,20,nvarchar,YES,-1,NULL,NULL,0
