COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_tipo_entidade,1,bigint,YES,NULL,19,0,0
cd_entidade,2,bigint,YES,NULL,19,0,0
cd_tipo_estoque,3,bigint,YES,NULL,19,0,0
cd_tipo_produto,4,bigint,YES,NULL,19,0,0
cd_produto,5,nvarchar,YES,-1,NULL,NULL,0
cd_dim01,6,float,YES,NULL,53,NULL,0
cd_dim02,7,float,YES,NULL,53,NULL,0
cd_dim03,8,float,YES,NULL,53,NULL,0
cd_entidade_estoque,9,bigint,YES,NULL,19,0,0
cd_esp_tecnica,10,nvarchar,YES,-1,NULL,NULL,0
cd_versao_esp,11,bigint,YES,NULL,19,0,0
dt_envio,12,datetime2,YES,NULL,NULL,NULL,0
