COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
isTratado,2,bit,YES,NULL,NULL,NULL,0
dtCadastro,3,datetime2,YES,NULL,NULL,NULL,0
cdPedido,4,bigint,YES,NULL,19,0,0
cdPedidoItem,5,bigint,YES,NULL,19,0,0
cdCliente,6,bigint,YES,NULL,19,0,0
nfCorte,7,bigint,YES,NULL,19,0,0
cdPecaInterno,8,nvarchar,YES,-1,NULL,NULL,0
cdPecaExterno,9,nvarchar,YES,-1,NULL,NULL,0
cdRelease,10,nvarchar,YES,-1,NULL,NULL,0
dsComentario,11,nvarchar,YES,-1,NULL,NULL,0
dsPeca,12,nvarchar,YES,-1,NULL,NULL,0
cdContrato,13,nvarchar,YES,-1,NULL,NULL,0
nmArquivo,14,nvarchar,YES,-1,NULL,NULL,0
qdeEntregueNFCorte,15,bigint,YES,NULL,19,0,0
dtNFCorte,16,datetime2,YES,NULL,NULL,NULL,0
qdeAcumuladaNFCorte,17,bigint,YES,NULL,19,0,0
icPedidoNovo,18,bit,YES,NULL,NULL,NULL,0
dtPrograma,19,datetime2,YES,NULL,NULL,NULL,0
