COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
Type,2,bigint,YES,NULL,19,0,0
Num_Bon,3,bigint,YES,NULL,19,0,0
Date_stp_b,4,datetime2,YES,NULL,NULL,NULL,0
Sec_cent,5,bigint,YES,NULL,19,0,0
H_Min,6,bigint,YES,NULL,19,0,0
Code_Impro,7,bigint,YES,NULL,19,0,0
Code_Ope,8,bigint,YES,NULL,19,0,0
Etat_Bon,9,bigint,YES,NULL,19,0,0
Type_Ressource,10,bigint,YES,NULL,19,0,0
Code_Ressource,11,bigint,YES,NULL,19,0,0
OP_Time,12,bigint,YES,NULL,19,0,0
Tps_Passe_Reglage,13,float,YES,NULL,53,NULL,0
Tps_passe_Usin,14,float,YES,NULL,53,NULL,0
Tps_passe_Ctrl,15,float,YES,NULL,53,NULL,0
Id_Multi_Bon,16,bigint,YES,NULL,19,0,0
Qte_Terminee,17,bigint,YES,NULL,19,0,0
Qte_Bonne,18,bigint,YES,NULL,19,0,0
Qte_Rebutee,19,bigint,YES,NULL,19,0,0
Remarque,20,nvarchar,YES,-1,NULL,NULL,0
