COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
ic_fechado,2,bit,YES,NULL,NULL,NULL,0
cd_empresa,3,bigint,YES,NULL,19,0,0
cd_cot_compras,4,bigint,YES,NULL,19,0,0
cd_item,5,bigint,YES,NULL,19,0,0
cd_status,6,bigint,YES,NULL,19,0,0
cd_tipo_elemento,7,bigint,YES,NULL,19,0,0
cd_produto,8,nvarchar,YES,-1,NULL,NULL,0
cd_tipo_produto,9,bigint,YES,NULL,19,0,0
dim01,10,float,YES,NULL,53,NULL,0
dim02,11,float,YES,NULL,53,NULL,0
dim03,12,float,YES,NULL,53,NULL,0
nm_descricao,13,nvarchar,YES,-1,NULL,NULL,0
nm_desenho,14,nvarchar,YES,-1,NULL,NULL,0
nm_revisao,15,nvarchar,YES,-1,NULL,NULL,0
vl_quantidade,16,float,YES,NULL,53,NULL,0
vl_comprimento,17,float,YES,NULL,53,NULL,0
cd_unidade,18,bigint,YES,NULL,19,0,0
def_dim01,19,nvarchar,YES,-1,NULL,NULL,0
def_dim02,20,nvarchar,YES,-1,NULL,NULL,0
