COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_empresa,2,bigint,YES,NULL,19,0,0
cd_cot_comp_item,3,bigint,YES,NULL,19,0,0
vl_associacao,4,bigint,YES,NULL,19,0,0
cd_projeto,5,bigint,YES,NULL,19,0,0
cd_ordem_fabricacao,6,bigint,YES,NULL,19,0,0
cd_id_produto,7,bigint,YES,NULL,19,0,0
cd_tipo_elemento,8,bigint,YES,NULL,19,0,0
cd_referencia_elemt,9,nvarchar,YES,-1,NULL,NULL,0
cd_ficha,10,bigint,YES,NULL,19,0,0
vl_ordem_mat,11,bigint,YES,NULL,19,0,0
cd_tipo_origem,12,bigint,YES,NULL,19,0,0
dt_envio_teorico,13,datetime2,YES,NULL,NULL,NULL,0
dt_entrega_teorica,14,datetime2,YES,NULL,NULL,NULL,0
nm_desenho,15,nvarchar,YES,-1,NULL,NULL,0
nm_revisao,16,nvarchar,YES,-1,NULL,NULL,0
vl_quantidade,17,float,YES,NULL,53,NULL,0
vl_necessidade,18,float,YES,NULL,53,NULL,0
vl_comprimento,19,float,YES,NULL,53,NULL,0
cd_unidade,20,bigint,YES,NULL,19,0,0
