COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_tipo,1,bigint,YES,NULL,19,0,0
cd_referencia,2,nvarchar,YES,-1,NULL,NULL,0
vl_frequencia,3,bigint,YES,NULL,19,0,0
vl_acumulado,4,bigint,YES,NULL,19,0,0
nm_imagem,5,nvarchar,YES,-1,NULL,NULL,0
nm_diretorio,6,nvarchar,YES,-1,NULL,NULL,0
cd_recurso,7,bigint,YES,NULL,19,0,0
tp_acumulado,8,float,YES,NULL,53,NULL,0
vl_acum_util_control,9,bigint,YES,NULL,19,0,0
tp_acum_util_control,10,float,YES,NULL,53,NULL,0
cd_unidade_negocio,11,bigint,YES,NULL,19,0,0
nm_desc_tecnica,12,nvarchar,YES,-1,NULL,NULL,0
cd_origem,13,bigint,YES,NULL,19,0,0
cd_conta_cont_compra,14,bigint,YES,NULL,19,0,0
cd_imposto_compra,15,bigint,YES,NULL,19,0,0
cd_ncm,16,nvarchar,YES,-1,NULL,NULL,0
