COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
nm_imposto,2,nvarchar,YES,-1,NULL,NULL,0
nm_cfopEntrada,3,nvarchar,YES,-1,NULL,NULL,0
pc_ipi,4,decimal,YES,NULL,38,19,0
pc_icms,5,decimal,YES,NULL,38,19,0
pc_pis,6,decimal,YES,NULL,38,19,0
pc_cofins,7,decimal,YES,NULL,38,19,0
pc_inss,8,decimal,YES,NULL,38,19,0
ic_IpiBaseCalculo,9,bit,YES,NULL,NULL,NULL,0
ic_RecuperaIpi,10,bit,YES,NULL,NULL,NULL,0
ic_RecuperaIcms,11,bit,YES,NULL,NULL,NULL,0
ic_RecuperaPis,12,bit,YES,NULL,NULL,NULL,0
ic_RecuperaCofins,13,bit,YES,NULL,NULL,NULL,0
ic_RecuperaInss,14,bit,YES,NULL,NULL,NULL,0
cd_imposto_saida,15,bigint,YES,NULL,19,0,0
pc_recupera_ipi,16,decimal,YES,NULL,38,19,0
pc_recupera_icms,17,decimal,YES,NULL,38,19,0
pc_recupera_pis,18,decimal,YES,NULL,38,19,0
pc_recupera_cofins,19,decimal,YES,NULL,38,19,0
pc_recupera_inss,20,decimal,YES,NULL,38,19,0
