COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
data,2,datetime2,YES,NULL,NULL,NULL,0
conjunto,3,nvarchar,YES,-1,NULL,NULL,0
pai,4,nvarchar,YES,-1,NULL,NULL,0
tipo,5,nvarchar,YES,-1,NULL,NULL,0
filho,6,nvarchar,YES,-1,NULL,NULL,0
descricao,7,nvarchar,YES,-1,NULL,NULL,0
custo_mp,8,float,YES,NULL,53,NULL,0
custo_tc,9,float,YES,NULL,53,NULL,0
custo_cp,10,float,YES,NULL,53,NULL,0
custo_agregado,11,float,YES,NULL,53,NULL,0
custo_mo,12,float,YES,NULL,53,NULL,0
custo_total,13,float,YES,NULL,53,NULL,0
comentario,14,nvarchar,YES,-1,NULL,NULL,0
indice,15,bigint,YES,NULL,19,0,0
quantidade,16,bigint,YES,NULL,19,0,0
